,gisjoin,lat_tract,long_tract,population,adj_radiuspop_5,urbanindex,FIPS,total_pop
12679,G0801030951100,39.98462,-107.8985,3932,110.6631,4.706491,08103,6557
12681,G0801050976700,37.58517,-106.155,5141,462.1203,6.135825,08105,11430
12684,G0801070000100,40.74112,-107.026,1934,248.525,5.515543,08107,24359
12692,G0801090977600,38.11604,-106.2786,3387,184.0268,5.215081,08109,6338
12694,G0801110972600,37.76404,-107.6761,569,546.6548,6.303818,08111,569
12695,G0801130968101,37.90961,-107.7862,1921,4964.0,8.509967,08113,7804
12699,G0801150968300,40.8759,-102.3518,2357,281.9795,5.641834,08115,2357
12700,G0801170000100,39.77477,-106.2271,8155,895.4437,6.797319,08117,29722
12705,G0801190010103,39.01575,-105.057,8023,5076.0,8.532279,08119,23769
12711,G0801210924100,39.88116,-103.173,1939,163.1556,5.094704,08121,4809
12713,G0801230000100,40.4223,-104.6919,2628,112978.0,11.63495,08123,285729
12790,G0801250963100,40.01489,-102.2625,4642,193.5482,5.265526,08125,10109
12792,G0900010010101,41.08226,-73.68414,4272,71687.0,11.18007,09001,947328
13002,G0900030330100,42.00443,-72.94859,2083,2789.135,7.933486,09003,897417
13225,G0900050250100,41.52089,-73.36015,1681,25571.0,10.14921,09005,184454
13276,G0900070541100,41.56866,-72.65827,2595,74967.0,11.2248,09007,164110
13312,G0900090120100,41.31738,-73.0634,6134,111136.0,11.61851,09009,862127
13501,G0900110650100,41.3971,-72.34342,2423,12866.0,9.462343,09011,270772
13566,G0900130526101,41.62673,-72.37006,4534,25488.0,10.14596,09013,151596
13595,G0900150800300,41.72083,-72.23135,6866,39352.0,10.5803,09015,116674
13620,G1000010040100,39.23729,-75.69476,6849,23579.0,10.06811,10001,173145
13652,G1000030000200,39.76459,-75.52821,6576,188173.0,12.14512,10003,555036
13781,G1000050050101,38.8643,-75.4716,3861,18337.0,9.816676,10005,215551
13834,G1100010000100,38.90837,-77.06059,5170,737570.0,13.51112,11001,672391
14013,G1200010000200,29.65112,-82.33339,6834,137137.0,11.82874,12001,259865
14069,G1200030040101,30.32116,-82.09931,6961,2019.356,7.610534,12003,27537
14073,G1200050000201,30.37591,-85.76698,5327,1874.612,7.536157,12005,180117
14116,G1200070000100,29.94596,-82.08128,5585,2191.516,7.692348,12007,26775
14120,G1200090060101,28.72971,-80.85205,3734,6123.0,8.719808,12009,568183
